100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
25,62.4672,77.2582,84.197,87.9807,90.2997,91.8478,92.9469,93.7631,94.3898,94.8832,95.2794,95.6023,95.8683,96.0892,96.2736,96.4279,96.5569,96.6641,96.7525,96.8242,96.8809,96.9238,96.9538,96.9716,96.9775,96.9716,96.9538,96.9238,96.8809,96.8242,96.7525,96.6641,96.5569,96.4279,96.2736,96.0892,95.8683,95.6023,95.2794,94.8832,94.3898,93.7631,92.9469,91.8478,90.2997,87.9807,84.197,77.2582,62.4672,25,
25,47.6104,62.3686,71.549,77.426,81.3703,84.1446,86.1768,87.7157,88.9127,89.8638,90.6323,91.2614,91.7817,92.215,92.5774,92.8812,93.1354,93.3471,93.5217,93.6635,93.7756,93.8605,93.9199,93.9551,93.9668,93.9551,93.9199,93.8605,93.7756,93.6635,93.5217,93.3471,93.1354,92.8812,92.5774,92.215,91.7817,91.2614,90.6323,89.8638,88.9127,87.7157,86.1768,84.1446,81.3703,77.426,71.549,62.3686,47.6104,25,
25,40.606,53.0569,62.2044,68.804,73.6109,77.1836,79.8999,82.0103,83.6816,85.0269,86.1244,87.0294,87.782,88.4115,88.9399,89.384,89.7564,90.0671,90.3238,90.5324,90.6975,90.8226,90.9103,90.9622,90.9794,90.9622,90.9103,90.8226,90.6975,90.5324,90.3238,90.0671,89.7564,89.384,88.9399,88.4115,87.782,87.0294,86.1244,85.0269,83.6816,82.0103,79.8999,77.1836,73.6109,68.804,62.2044,53.0569,40.606,25,
25,36.7566,47.0485,55.4078,61.9746,67.0859,71.0789,74.229,76.744,78.7765,80.4378,81.8089,82.9499,83.9054,84.7092,85.3869,85.9584,86.4391,86.8412,87.174,87.4448,87.6594,87.8222,87.9363,88.004,88.0264,88.004,87.9363,87.8222,87.6594,87.4448,87.174,86.8412,86.4391,85.9584,85.3869,84.7092,83.9054,82.9499,81.8089,80.4378,78.7765,76.744,74.229,71.0789,67.0859,61.9746,55.4078,47.0485,36.7566,25,
25,34.3718,42.9728,50.4038,56.6005,61.6791,65.8173,69.193,71.96,74.2427,76.1388,77.7237,79.0559,80.1806,81.1328,81.9399,82.6235,83.2006,83.6845,84.086,84.4134,84.6732,84.8705,85.0089,85.091,85.1182,85.091,85.0089,84.8705,84.6732,84.4134,84.086,83.6845,83.2006,82.6235,81.9399,81.1328,80.1806,79.0559,77.7237,76.1388,74.2427,71.96,69.193,65.8173,61.6791,56.6005,50.4038,42.9728,34.3718,25,
25,32.758,40.067,46.634,52.3447,57.2126,61.3181,64.7658,67.6605,70.0957,72.1508,73.8911,75.3695,76.6283,77.7015,78.6166,79.3953,80.0552,80.6104,81.0722,81.4496,81.7496,81.9776,82.1378,82.2328,82.2643,82.2328,82.1378,81.9776,81.7496,81.4496,81.0722,80.6104,80.0552,79.3953,78.6166,77.7015,76.6283,75.3695,73.8911,72.1508,70.0957,67.6605,64.7658,61.3181,57.2126,52.3447,46.634,40.067,32.758,25,
25,31.5931,37.9033,43.7204,48.9319,53.5085,57.4766,60.8917,63.8203,66.3287,68.4777,70.3206,71.9026,73.2614,74.4285,75.4296,76.2858,77.0144,77.6296,78.1428,78.5631,78.8978,79.1527,79.3319,79.4382,79.4735,79.4382,79.3319,79.1527,78.8978,78.5631,78.1428,77.6296,77.0144,76.2858,75.4296,74.4285,73.2614,71.9026,70.3206,68.4777,66.3287,63.8203,60.8917,57.4766,53.5085,48.9319,43.7204,37.9033,31.5931,25,
25,30.711,36.2327,41.4126,46.1538,50.4129,54.1881,57.5042,60.4003,62.921,65.1107,67.011,68.6587,70.0864,71.3215,72.3874,73.3038,74.0871,74.7509,75.3062,75.7621,76.126,76.4035,76.5987,76.7147,76.7532,76.7147,76.5987,76.4035,76.126,75.7621,75.3062,74.7509,74.0871,73.3038,72.3874,71.3215,70.0864,68.6587,67.011,65.1107,62.921,60.4003,57.5042,54.1881,50.4129,46.1538,41.4126,36.2327,30.711,25,
25,30.0184,34.9037,39.5435,43.8577,47.8012,51.3587,54.5366,57.3558,59.8443,62.0332,63.9538,65.6351,67.1039,68.3836,69.4947,70.455,71.2794,71.9805,72.5689,73.0533,73.4406,73.7364,73.9448,74.0687,74.1098,74.0687,73.9448,73.7364,73.4406,73.0533,72.5689,71.9805,71.2794,70.455,69.4947,68.3836,67.1039,65.6351,63.9538,62.0332,59.8443,57.3558,54.5366,51.3587,47.8012,43.8577,39.5435,34.9037,30.0184,25,
